"","Date","Site","Stream","Q","TN_Load","TP_Load","Nitrate_Load","Ammonium_Load","SRP_Load","DOC_Load"
"694",2021-07-13,"16","MB",0.0404076276402027,0.0590102991149297,0.00292764030886034,0.0432361615750168,0.00210927816281858,2.06078900965034,0.139568122086924
"695",2021-07-13,"18","MB",0.0404076276402027,0.070891567383883,0.00359542532965939,0.0529339922086655,0.00197593299160591,2.27494943614341,0.159372280831202
"696",2021-07-13,"19","MB",0.0404076276402027,0.0957856533057516,0.00470102966284346,0.0561666024198817,0.00315583571869983,2.25474562232331,0.181398950376521
"697",2021-07-13,"20","MB",0.0404076276402027,0.0833386103650211,0.00377232204398081,0.0598032889074999,0.00256588435515287,1.72944646300067,0.173858288743117
"698",2021-07-13,"22","DE",0.0304996369351973,0.0880996233633892,0.00180921561876784,0.0860089761572565,0.00139993333532556,1.67443006774233,0.0658036541800044
"699",2021-07-13,"23","DE",0.0304996369351973,0.0970675927715269,0.00211965300135051,0.0966838490845755,0.00122913536848845,1.85132796196648,0.0703270450554859
"700",2021-07-13,"24","DE",0.0304996369351973,0.109024885305544,0.00236666766991118,0.101563790994207,0.00199772621925543,2.01297603772302,0.0729032809157171
"701",2021-07-13,"25","DE",0.0304996369351973,0.116711716244233,0.00261034433620712,0.113458649398934,0.000986358258484282,2.34542208031667,0.0723940249703518
"702",2021-07-13,"40","EF",0.0660831847054204,0.220493179992714,0.00387661017551968,0.202875377045641,0.00113002245846269,2.96713499327337,0.176586596425825
"703",2021-07-13,"41","FM_Branch",0.220349015216567,0.787665969998877,0.00672839838490372,0.729355240366837,0.0124276844582144,4.18663128911478,0.483848468195373
"704",2021-07-13,"42","FM_Branch",0.220349015216567,0.775324944401366,0.00641488867059079,0.729355240366837,0.0125378589658227,4.47308500889631,0.480818544738952
"705",2021-07-17,"0","BD",41.1407766990291,NA,NA,179.785194174757,5.92427184466019,192.538834951456,157.576601695995
"706",2021-07-17,"2","LF",10.38888468,NA,NA,59.0088649824,0.806177451168,2327.11016832,51.5460675178319
"707",2021-07-17,"5","LF",10.38888468,NA,NA,59.3205315228,0.790594124148,2430.99901512,51.4440296378376
"708",2021-07-17,"8","FM",25.8736263736264,NA,NA,162.227637362637,4.34676923076923,6778.89010989011,165.35141510094
"709",2021-07-17,"11","FM",25.8736263736264,NA,NA,125.487087912088,3.62230769230769,6106.17582417583,166.062969063412
"710",2021-07-17,"14","EF",5.95895489010989,NA,NA,22.2269017401099,0.585169370208792,1209.66784269231,37.8070035012977
"711",2021-07-17,"16","MB",1.83396169088508,NA,NA,3.13607449141348,0.218058045046236,372.294223249671,10.9079777376234
"712",2021-07-17,"19","MB",1.83396169088508,NA,NA,2.95267832232497,0.24941878996037,374.128184940556,11.0142536315278
"713",2021-07-17,"22","DE",2.22681854516387,NA,NA,11.1340927258193,0.147638069544365,460.951438848921,11.7857740790598
"714",2021-07-17,"24","DE",2.22681854516387,NA,NA,12.0248201438849,0.192397122302158,460.951438848921,11.6020540046225
"715",2021-07-17,"42","FM_Branch",19.8696513736264,NA,NA,124.185321085165,2.82149049505495,5225.71831126374,131.72391919272
"716",2021-07-27,"0","BD",0.837413902875067,3.28657402695145,0.071121067022149,2.4619968744527,0.149897088614637,4.9742385830779,3.58225626744172
"717",2021-07-27,"1","BD",0.837413902875067,3.41555124507796,0.0992578810638852,2.43687445736645,0.169995022283639,5.71953695663671,3.59961177860519
"718",2021-07-27,"2","LF",0.084182046131335,0.298562199448864,0.00377745852830015,0.290428059153106,0.0027493856266494,2.73591649926839,0.195793163541738
"719",2021-07-27,"4","LF",0.084182046131335,0.309170410262313,0.00392487156128574,0.299688084227553,0.00364508259748681,3.07264468379373,0.198013670075917
"720",2021-07-27,"5","LF",0.084182046131335,0.328029451661679,0.00439475057235906,0.305580827456746,0.00519403224630337,3.5440641421292,0.199044619562266
"721",2021-07-27,"6","LF",0.084182046131335,0.331565521960889,0.00435789735620368,0.309789929763313,0.00473103099258103,3.40095466370593,0.196903416808827
"722",2021-07-27,"8","FM",0.203767873191365,0.63709557663542,0.00437107395965328,0.5970398684507,0.0083137292262077,3.03614131055134,0.418069219712941
"723",2021-07-27,"10","FM",0.203767873191365,0.614270835790236,0.00497321169275548,0.576663081131563,0.00918993108093056,3.09727167250875,0.401944597611057
"724",2021-07-27,"11","FM",0.203767873191365,0.639948669190126,0.00452718378759116,0.595002189718786,0.0109219580030572,3.0157645232322,0.401176758492458
"725",2021-07-27,"12","FM_Branch",0.156483538217309,0.51335890509139,0.00380205157861138,0.488228639238003,0.00819973740258698,1.73696727421213,0.311326833043729
"726",2021-07-27,"14","EF",0.0469297788747033,0.128987896870847,0.00205963020106575,0.120609531707987,0.00272192717473279,1.80210350878861,0.10618861990218
"727",2021-07-27,"15","EF",0.0469297788747033,0.128987896870847,0.00214694619895732,0.124833211806711,0.00242626956782216,1.78802457512619,0.109194917461917
"728",2021-07-27,"16","MB",0.0337247670311421,0.053500645547523,0.00196361781543484,0.0468774261732875,0.00188184200033773,1.69298330496333,0.0835213626333659
"729",2021-07-27,"18","MB",0.0337247670311421,0.0643613237914479,0.00226628073715583,0.0546341225904502,0.00185486218671282,2.12128784625884,0.0898754546569685
"730",2021-07-27,"19","MB",0.0337247670311421,0.144635902299397,0.00484629738369104,0.0691357724138413,0.00654260480404157,3.60855007233221,0.133464525938208
"731",2021-07-27,"20","MB",0.0337247670311421,0.0794718327009486,0.00152807853594152,0.0721710014466441,0.00171659064188513,1.09605492851212,0.0945774827483639
"732",2021-07-27,"22","DE",0.0986666666666667,0.318159245733333,0.00318558238933333,0.31376,0.00325008,3.14746666666667,0.133093759186667
"733",2021-07-27,"23","DE",0.0986666666666667,0.359604219125333,0.00362832438933333,0.36408,0.00283765333333333,3.6112,0.146013678581333
"734",2021-07-27,"24","DE",0.0986666666666667,0.383089704106667,0.00451380829066667,0.3848,0.00416373333333333,4.44986666666667,0.147036118229333
"735",2021-07-27,"25","DE",0.0986666666666667,0.423153178405333,0.005334500752,0.407493333333333,0.00359048,5.19973333333333,0.147593812618667
"736",2021-07-27,"40","EF",0.0469297788747033,0.116503077503915,0.0014432820331056,0.106530598045576,0.0012182970595873,1.19670936130493,0.102828640240705
"737",2021-07-27,"41","FM_Branch",0.156483538217309,0.511167872664003,0.00294573359770048,0.474145120798446,0.00597923599528337,1.81520904332078,0.296437865822414
"738",2021-07-27,"42","FM_Branch",0.156483538217309,0.50459477522536,0.00294573359770048,0.478839626944965,0.00627498988251408,2.08123105829021,0.302776733067646
"739",2021-08-10,"0","BD",0.13524865,0.333860781285103,0.0139141655256519,0.235332651,0.0219102813,4.30090707,0.572190798935792
"740",2021-08-10,"1","BD",0.13524865,0.369841239727757,0.0102727989031229,0.251562489,0.00965675361,0.697883034,0.55524511404085
"741",2021-08-10,"2","LF",0.0144920848356068,0.00850207720733938,0.000797802197139828,0.00431864128101083,0.000594175478259879,0.646346983668063,0.0371055512296844
"742",2021-08-10,"4","LF",0.0144920848356068,0.00923256594567513,0.000793043938465329,0.00408676792364112,0.000572437351006469,0.549250015269498,0.0427575981064983
"743",2021-08-10,"5","LF",0.0144920848356068,0.0118095678760443,0.000778769147949747,0.0059562468674344,0.00057533576797359,0.530410304983209,0.0398633132385419
"744",2021-08-10,"6","LF",0.0144920848356068,0.0110790791377086,0.000886623112682984,0.0057533576797359,0.000633304107316017,0.515918220147602,0.0424299432127785
"745",2021-08-10,"8","FM",0.0610457953898099,0.0382925179686452,0.00123601534110269,0.0216102115679927,0.00293630275824986,0.640980851593004,0.123867062747781
"746",2021-08-10,"10","FM",0.0610457953898099,0.0370104024300548,0.00130282697291286,0.0215491657726029,0.00194125629339596,0.836327396840396,0.122889422148475
"747",2021-08-10,"11","FM",0.0610457953898099,0.0400874797226717,0.00135627629057016,0.0235026312250768,0.00291188444009393,0.903477771769187,0.127260050688533
"748",2021-08-10,"12","FM_Branch",0.0468801185696045,0.0380055847979763,0.000779881572643272,0.0239088604704983,0.00316440800344831,0.225962171505494,0.100599981884591
